SampleID	Population	Superpopulation
HG02891	GWD	AFR
HG03061	MSL	AFR
HG02896	GWD	AFR
HG03066	MSL	AFR
HG02923	ESN	AFR
HG03073	MSL	AFR
HG03112	ESN	AFR
HG03212	MSL	AFR
HG03117	ESN	AFR
HG03224	MSL	AFR
HG03124	ESN	AFR
HG03229	PJL	SAS
HG03129	ESN	AFR
HG03193	ESN	AFR
HG03198	ESN	AFR
HG03027	GWD	AFR
HG03225	MSL	AFR
HG03136	ESN	AFR
HG03039	GWD	AFR
HG03162	ESN	AFR
HG03046	GWD	AFR
HG02974	ESN	AFR
HG03058	MSL	AFR
HG03369	ESN	AFR
HG03060	MSL	AFR
HG03376	MSL	AFR
HG03072	MSL	AFR
HG03077	MSL	AFR
HG03388	MSL	AFR
HG03084	MSL	AFR
HG03091	MSL	AFR
HG03484	MSL	AFR
HG03096	MSL	AFR
HG03491	PJL	SAS
HG03511	ESN	AFR
HG03015	PJL	SAS
HG03022	PJL	SAS
HG03624	PJL	SAS
HG03629	PJL	SAS
HG03130	ESN	AFR
HG03631	PJL	SAS
HG03135	ESN	AFR
HG03636	PJL	SAS
HG03159	ESN	AFR
HG03410	MSL	AFR
HG03439	MSL	AFR
HG03109	ESN	AFR
HG03446	MSL	AFR
HG03111	ESN	AFR
HG03458	MSL	AFR
HG03123	ESN	AFR
HG03460	MSL	AFR
HG02947	ESN	AFR
HG03472	MSL	AFR
HG02973	ESN	AFR
HG03547	MSL	AFR
HG03166	ESN	AFR
HG03559	MSL	AFR
HG03578	MSL	AFR
HG03294	ESN	AFR
HG03515	ESN	AFR
HG03539	GWD	AFR
HG03558	MSL	AFR
HG03585	BEB	SAS
HG03565	MSL	AFR
HG03600	BEB	SAS
HG03452	MSL	AFR
HG03457	MSL	AFR
HG03464	MSL	AFR
HG03352	ESN	AFR
HG03469	MSL	AFR
HG03787	ITU	SAS
HG03476	MSL	AFR
HG03488	PJL	SAS
HG03802	BEB	SAS
HG03490	PJL	SAS
HG03744	STU	SAS
HG03394	MSL	AFR
HG03756	STU	SAS
HG03869	ITU	SAS
HG03871	ITU	SAS
HG03419	MSL	AFR
HG03433	MSL	AFR
HG03888	STU	SAS
HG03890	STU	SAS
HG03445	MSL	AFR
HG03895	STU	SAS
HG03572	MSL	AFR
HG03643	STU	SAS
HG03577	MSL	AFR
HG03584	MSL	AFR
HG03667	PJL	SAS
HG03589	BEB	SAS
HG03679	STU	SAS
HG03681	STU	SAS
HG03267	ESN	AFR
HG03706	PJL	SAS
HG03279	ESN	AFR
HG03713	ITU	SAS
HG03718	ITU	SAS
HG03298	ESN	AFR
HG03720	ITU	SAS
HG03301	ESN	AFR
HG03363	ESN	AFR
HG03838	STU	SAS
HG03370	ESN	AFR
HG03845	STU	SAS
HG03382	MSL	AFR
HG03857	STU	SAS
HG03864	ITU	SAS
HG03313	ESN	AFR
HG03770	ITU	SAS
HG03351	ESN	AFR
HG03775	ITU	SAS
HG03604	BEB	SAS
HG03782	ITU	SAS
HG03611	BEB	SAS
HG03686	STU	SAS
HG03616	BEB	SAS
HG03693	STU	SAS
HG03779	ITU	SAS
HG03698	STU	SAS
HG03781	ITU	SAS
HG03786	ITU	SAS
HG03814	BEB	SAS
HG03793	BEB	SAS
HG03821	BEB	SAS
HG03826	BEB	SAS
HG03833	BEB	SAS
HG03832	BEB	SAS
HG04076	ITU	SAS
HG03837	STU	SAS
HG04090	ITU	SAS
HG03844	STU	SAS
HG03849	STU	SAS
HG03851	STU	SAS
HG03856	STU	SAS
HG04134	BEB	SAS
HG03697	STU	SAS
HG04209	ITU	SAS
HG03705	PJL	SAS
HG04211	ITU	SAS
HG03717	ITU	SAS
HG04216	ITU	SAS
HG03755	STU	SAS
HG03762	PJL	SAS
HG04235	ITU	SAS
HG03767	PJL	SAS
HG03774	ITU	SAS
HG03908	BEB	SAS
HG03910	BEB	SAS
HG03642	STU	SAS
HG03922	BEB	SAS
HG03863	ITU	SAS
HG04141	BEB	SAS
HG03868	ITU	SAS
HG04146	BEB	SAS
HG03870	ITU	SAS
HG04153	BEB	SAS
HG03875	ITU	SAS
HG04158	BEB	SAS
HG03882	ITU	SAS
HG03887	STU	SAS
HG03953	STU	SAS
HG03673	STU	SAS
HG03960	ITU	SAS
HG03680	STU	SAS
HG03965	ITU	SAS
HG03685	STU	SAS
HG03692	STU	SAS
HG03977	ITU	SAS
HG03729	ITU	SAS
HG03989	STU	SAS
HG03731	ITU	SAS
HG03991	STU	SAS
HG03736	STU	SAS
HG04002	ITU	SAS
HG03743	STU	SAS
HG04014	ITU	SAS
HG03750	STU	SAS
HG04019	ITU	SAS
HG04026	ITU	SAS
HG04033	STU	SAS
HG04177	BEB	SAS
HG04063	ITU	SAS
HG04070	ITU	SAS
HG04189	BEB	SAS
HG04075	STU	SAS
HG04094	ITU	SAS
HG04099	STU	SAS
HG03934	BEB	SAS
HG04107	STU	SAS
HG03941	BEB	SAS
HG04038	STU	SAS
HG03990	STU	SAS
HG03995	STU	SAS
NA12828	CEU	EUR
HG04001	ITU	SAS
NA12830	CEU	EUR
HG04006	STU	SAS
NA12842	CEU	EUR
HG04018	ITU	SAS
NA12873	CEU	EUR
HG04020	ITU	SAS
NA12878	CEU	EUR
HG03894	STU	SAS
NA12892	CEU	EUR
HG03899	STU	SAS
NA18484	YRI	AFR
HG03902	BEB	SAS
NA18489	YRI	AFR
HG03907	BEB	SAS
NA18504	YRI	AFR
HG03914	BEB	SAS
NA18509	YRI	AFR
HG04195	BEB	SAS
NA18511	YRI	AFR
NA18516	YRI	AFR
HG04210	STU	SAS
NA10860	CEU	EUR
NA10865	CEU	EUR
HG04164	BEB	SAS
NA11832	CEU	EUR
HG04171	BEB	SAS
NA11882	CEU	EUR
HG04176	BEB	SAS
NA11894	CEU	EUR
HG04183	BEB	SAS
NA11919	CEU	EUR
HG04188	BEB	SAS
NA11933	CEU	EUR
NA11995	CEU	EUR
HG04140	BEB	SAS
NA12006	CEU	EUR
HG04152	BEB	SAS
NA12044	CEU	EUR
NA12056	CEU	EUR
HG03919	BEB	SAS
NA12145	CEU	EUR
HG03926	BEB	SAS
NA12234	CEU	EUR
HG03940	BEB	SAS
NA12239	CEU	EUR
HG03945	STU	SAS
NA12272	CEU	EUR
HG03969	ITU	SAS
NA18523	YRI	AFR
HG03971	ITU	SAS
NA18528	CHB	EAS
HG03976	ITU	SAS
NA18530	CHB	EAS
HG04025	ITU	SAS
NA18535	CHB	EAS
HG04037	STU	SAS
NA18542	CHB	EAS
HG04056	ITU	SAS
NA18547	CHB	EAS
NA18503	YRI	AFR
NA18559	CHB	EAS
NA18508	YRI	AFR
NA18561	CHB	EAS
NA18510	YRI	AFR
NA18566	CHB	EAS
NA18515	YRI	AFR
NA18573	CHB	EAS
NA18522	YRI	AFR
NA18592	CHB	EAS
NA18527	CHB	EAS
NA18597	CHB	EAS
NA18534	CHB	EAS
NA18605	CHB	EAS
NA18539	CHB	EAS
NA18612	CHB	EAS
NA18541	CHB	EAS
NA18617	CHB	EAS
NA18546	CHB	EAS
NA18624	CHB	EAS
NA18553	CHB	EAS
NA18876	YRI	AFR
NA18558	CHB	EAS
NA18908	YRI	AFR
NA18560	CHB	EAS
NA18910	YRI	AFR
NA18565	CHB	EAS
NA18915	YRI	AFR
NA18572	CHB	EAS
NA18934	YRI	AFR
NA18933	YRI	AFR
NA18939	JPT	EAS
NA18940	JPT	EAS
NA18941	JPT	EAS
NA18945	JPT	EAS
NA18946	JPT	EAS
NA18952	JPT	EAS
NA18953	JPT	EAS
NA18957	JPT	EAS
NA18960	JPT	EAS
NA18964	JPT	EAS
NA18629	CHB	EAS
NA18969	JPT	EAS
NA18631	CHB	EAS
NA18971	JPT	EAS
NA18636	CHB	EAS
NA18976	JPT	EAS
NA18643	CHB	EAS
NA18983	JPT	EAS
NA18648	CHB	EAS
NA18988	JPT	EAS
NA18749	CHB	EAS
NA18990	JPT	EAS
NA18794	CHB	EAS
NA18995	JPT	EAS
NA18852	YRI	AFR
NA19001	JPT	EAS
NA18857	YRI	AFR
NA19006	JPT	EAS
NA18864	YRI	AFR
NA10852	CEU	EUR
NA18869	YRI	AFR
NA10857	CEU	EUR
NA18871	YRI	AFR
NA10864	CEU	EUR
NA12335	CEU	EUR
NA11829	CEU	EUR
NA12342	CEU	EUR
NA11831	CEU	EUR
NA12347	CEU	EUR
NA11843	CEU	EUR
NA12400	CEU	EUR
NA11881	CEU	EUR
NA12708	CEU	EUR
NA11893	CEU	EUR
NA12739	CEU	EUR
NA11918	CEU	EUR
NA12753	CEU	EUR
NA11920	CEU	EUR
NA12760	CEU	EUR
NA11932	CEU	EUR
NA12777	CEU	EUR
NA11994	CEU	EUR
NA18965	JPT	EAS
NA12005	CEU	EUR
NA18972	JPT	EAS
NA12043	CEU	EUR
NA18977	JPT	EAS
NA18577	CHB	EAS
NA18984	JPT	EAS
NA18591	CHB	EAS
NA18989	JPT	EAS
NA18596	CHB	EAS
NA18991	JPT	EAS
NA18609	CHB	EAS
NA19002	JPT	EAS
NA18611	CHB	EAS
NA19007	JPT	EAS
NA18616	CHB	EAS
NA19019	LWK	AFR
NA18623	CHB	EAS
NA19026	LWK	AFR
NA18628	CHB	EAS
NA06984	CEU	EUR
NA18630	CHB	EAS
NA06989	CEU	EUR
NA18635	CHB	EAS
NA06991	CEU	EUR
NA18642	CHB	EAS
NA07014	CEU	EUR
NA18647	CHB	EAS
NA07019	CEU	EUR
NA18748	CHB	EAS
NA07045	CEU	EUR
NA18856	YRI	AFR
NA07348	CEU	EUR
NA12752	CEU	EUR
NA10839	CEU	EUR
NA12776	CEU	EUR
NA10846	CEU	EUR
NA12815	CEU	EUR
NA10853	CEU	EUR
NA12827	CEU	EUR
NA19103	YRI	AFR
NA12865	CEU	EUR
NA19108	YRI	AFR
NA12872	CEU	EUR
NA19115	YRI	AFR
NA12877	CEU	EUR
NA19122	YRI	AFR
NA12889	CEU	EUR
NA19127	YRI	AFR
NA12891	CEU	EUR
NA19139	YRI	AFR
NA18488	YRI	AFR
NA19141	YRI	AFR
NA12144	CEU	EUR
NA19146	YRI	AFR
NA12156	CEU	EUR
NA19153	YRI	AFR
NA12264	CEU	EUR
NA19160	YRI	AFR
NA12283	CEU	EUR
NA19172	YRI	AFR
NA12341	CEU	EUR
NA19177	YRI	AFR
NA12485	CEU	EUR
NA19184	YRI	AFR
NA12707	CEU	EUR
NA19189	YRI	AFR
NA12740	CEU	EUR
NA19191	YRI	AFR
NA07051	CEU	EUR
NA19312	LWK	AFR
NA07056	CEU	EUR
NA19317	LWK	AFR
NA07347	CEU	EUR
NA19324	LWK	AFR
NA10838	CEU	EUR
NA19331	LWK	AFR
NA10840	CEU	EUR
NA19350	LWK	AFR
NA10845	CEU	EUR
NA19355	LWK	AFR
HG04222	ITU	SAS
NA19374	LWK	AFR
HG04227	STU	SAS
NA19379	LWK	AFR
HG04239	ITU	SAS
NA19381	LWK	AFR
NA06995	CEU	EUR
NA19393	LWK	AFR
NA07037	CEU	EUR
NA19398	LWK	AFR
NA18863	YRI	AFR
NA19401	LWK	AFR
NA18868	YRI	AFR
NA19432	LWK	AFR
NA18870	YRI	AFR
NA19437	LWK	AFR
NA18875	YRI	AFR
NA19444	LWK	AFR
NA18907	YRI	AFR
NA19449	LWK	AFR
NA18914	YRI	AFR
NA19451	LWK	AFR
NA19140	YRI	AFR
NA19456	LWK	AFR
NA19145	YRI	AFR
NA19463	LWK	AFR
NA19152	YRI	AFR
NA19468	LWK	AFR
NA19171	YRI	AFR
NA19470	LWK	AFR
NA19176	YRI	AFR
NA19475	LWK	AFR
NA19190	YRI	AFR
NA19653	MXL	AMR
NA19195	YRI	AFR
NA19658	MXL	AMR
NA19203	YRI	AFR
NA19660	MXL	AMR
NA19208	YRI	AFR
NA19665	MXL	AMR
NA19210	YRI	AFR
NA19672	MXL	AMR
NA19215	YRI	AFR
NA19742	MXL	AMR
NA19222	YRI	AFR
NA19747	MXL	AMR
NA19239	YRI	AFR
NA19258	YRI	AFR
NA19759	MXL	AMR
NA19309	LWK	AFR
NA19761	MXL	AMR
NA19311	LWK	AFR
NA19766	MXL	AMR
NA19316	LWK	AFR
NA19773	MXL	AMR
NA19323	LWK	AFR
NA19778	MXL	AMR
NA19328	LWK	AFR
NA19780	MXL	AMR
NA19347	LWK	AFR
NA19785	MXL	AMR
NA19359	LWK	AFR
NA19792	MXL	AMR
NA19373	LWK	AFR
NA19378	LWK	AFR
NA19836	ASW	AFR
NA19380	LWK	AFR
NA19901	ASW	AFR
NA19385	LWK	AFR
NA19913	ASW	AFR
NA19397	LWK	AFR
NA19918	ASW	AFR
NA19429	LWK	AFR
NA19920	ASW	AFR
NA19431	LWK	AFR
NA19982	ASW	AFR
NA19436	LWK	AFR
NA20129	ASW	AFR
NA19443	LWK	AFR
NA20282	ASW	AFR
NA19448	LWK	AFR
NA19677	MXL	AMR
NA19455	LWK	AFR
NA19684	MXL	AMR
NA19462	LWK	AFR
NA19704	ASW	AFR
NA19467	LWK	AFR
NA19711	ASW	AFR
NA19474	LWK	AFR
NA19716	MXL	AMR
NA19652	MXL	AMR
NA19723	MXL	AMR
NA19657	MXL	AMR
NA19728	MXL	AMR
NA19664	MXL	AMR
NA19730	MXL	AMR
NA19669	MXL	AMR
NA19735	MXL	AMR
NA19671	MXL	AMR
NA19196	YRI	AFR
NA19676	MXL	AMR
NA19204	YRI	AFR
NA19020	LWK	AFR
NA19209	YRI	AFR
NA19025	LWK	AFR
NA19211	YRI	AFR
NA19037	LWK	AFR
NA19223	YRI	AFR
NA19044	LWK	AFR
NA19235	YRI	AFR
NA19056	JPT	EAS
NA19247	YRI	AFR
NA19063	JPT	EAS
NA19254	YRI	AFR
NA19068	JPT	EAS
NA19038	LWK	AFR
NA19070	JPT	EAS
NA19057	JPT	EAS
NA19075	JPT	EAS
NA19064	JPT	EAS
NA19082	JPT	EAS
NA19076	JPT	EAS
NA19087	JPT	EAS
NA19083	JPT	EAS
NA19828	ASW	AFR
NA19088	JPT	EAS
NA19835	ASW	AFR
NA19090	JPT	EAS
NA19900	ASW	AFR
NA19095	YRI	AFR
NA20287	ASW	AFR
NA19917	ASW	AFR
NA20294	ASW	AFR
NA19924	ASW	AFR
NA20299	ASW	AFR
NA20128	ASW	AFR
NA20302	ASW	AFR
NA20274	ASW	AFR
NA20314	ASW	AFR
NA20279	ASW	AFR
NA20319	ASW	AFR
NA20281	ASW	AFR
NA20321	ASW	AFR
NA19746	MXL	AMR
NA20333	ASW	AFR
NA19753	MXL	AMR
NA20340	ASW	AFR
NA19758	MXL	AMR
NA20787	TSI	EUR
NA19760	MXL	AMR
NA20799	TSI	EUR
NA19772	MXL	AMR
NA20802	TSI	EUR
NA19777	MXL	AMR
NA20807	TSI	EUR
NA19784	MXL	AMR
NA20814	TSI	EUR
NA19789	MXL	AMR
NA20819	TSI	EUR
NA19796	MXL	AMR
NA20821	TSI	EUR
NA19094	YRI	AFR
NA20826	TSI	EUR
NA19099	YRI	AFR
NA20845	GIH	SAS
NA19102	YRI	AFR
NA20852	GIH	SAS
NA19107	YRI	AFR
NA20345	ASW	AFR
NA19114	YRI	AFR
NA20357	ASW	AFR
NA19119	YRI	AFR
NA20364	ASW	AFR
NA19121	YRI	AFR
NA20504	TSI	EUR
NA19138	YRI	AFR
NA20509	TSI	EUR
NA19683	MXL	AMR
NA20511	TSI	EUR
NA19703	ASW	AFR
NA20516	TSI	EUR
NA19708	ASW	AFR
NA20528	TSI	EUR
NA19722	MXL	AMR
NA20530	TSI	EUR
NA19727	MXL	AMR
NA20535	TSI	EUR
NA19734	MXL	AMR
NA20542	TSI	EUR
NA19741	MXL	AMR
NA20585	TSI	EUR
NA20298	ASW	AFR
NA20756	TSI	EUR
NA20301	ASW	AFR
NA20763	TSI	EUR
NA20313	ASW	AFR
NA20768	TSI	EUR
NA20318	ASW	AFR
NA20770	TSI	EUR
NA20320	ASW	AFR
NA20775	TSI	EUR
NA20332	ASW	AFR
NA20864	GIH	SAS
NA20337	ASW	AFR
NA20869	GIH	SAS
NA20344	ASW	AFR
NA20871	GIH	SAS
NA20349	ASW	AFR
NA20876	GIH	SAS
NA20351	ASW	AFR
NA20883	GIH	SAS
NA20356	ASW	AFR
NA20908	GIH	SAS
NA20363	ASW	AFR
NA20910	GIH	SAS
NA20414	ASW	AFR
NA21088	GIH	SAS
NA20503	TSI	EUR
NA21090	GIH	SAS
NA20508	TSI	EUR
NA21095	GIH	SAS
NA20510	TSI	EUR
NA20888	GIH	SAS
NA20515	TSI	EUR
NA20890	GIH	SAS
NA20522	TSI	EUR
NA20895	GIH	SAS
NA20786	TSI	EUR
NA20903	GIH	SAS
NA20798	TSI	EUR
NA20801	TSI	EUR
NA20806	TSI	EUR
NA20813	TSI	EUR
NA20818	TSI	EUR
NA20832	TSI	EUR
NA21127	GIH	SAS
NA20849	GIH	SAS
NA21134	GIH	SAS
NA20851	GIH	SAS
NA21141	GIH	SAS
NA20856	GIH	SAS
NA21103	GIH	SAS
NA21126	GIH	SAS
NA21108	GIH	SAS
NA21133	GIH	SAS
NA21110	GIH	SAS
NA21115	GIH	SAS
NA20527	TSI	EUR
NA21122	GIH	SAS
NA20534	TSI	EUR
NA20539	TSI	EUR
NA20541	TSI	EUR
NA20589	TSI	EUR
NA20755	TSI	EUR
NA20762	TSI	EUR
NA20767	TSI	EUR
NA20774	TSI	EUR
NA21102	GIH	SAS
NA21107	GIH	SAS
NA21114	GIH	SAS
NA21119	GIH	SAS
NA21121	GIH	SAS
NA20863	GIH	SAS
NA20868	GIH	SAS
NA20870	GIH	SAS
NA20875	GIH	SAS
NA20882	GIH	SAS
NA20907	GIH	SAS
NA21087	GIH	SAS
NA21094	GIH	SAS
NA21099	GIH	SAS
NA20887	GIH	SAS
NA20894	GIH	SAS
NA20899	GIH	SAS
NA20902	GIH	SAS
HG00135	GBR	EUR
HG00142	GBR	EUR
HG00147	GBR	EUR
HG00138	GBR	EUR
HG00154	GBR	EUR
HG00140	GBR	EUR
HG00159	GBR	EUR
HG00145	GBR	EUR
HG00173	FIN	EUR
HG00152	GBR	EUR
HG00178	FIN	EUR
HG00157	GBR	EUR
HG00180	FIN	EUR
HG00171	FIN	EUR
HG00185	FIN	EUR
HG00176	FIN	EUR
HG00231	GBR	EUR
HG00183	FIN	EUR
HG00236	GBR	EUR
HG00188	FIN	EUR
HG00243	GBR	EUR
HG00190	FIN	EUR
HG00248	GBR	EUR
HG00234	GBR	EUR
HG00250	GBR	EUR
HG00239	GBR	EUR
HG00255	GBR	EUR
HG00246	GBR	EUR
HG00262	GBR	EUR
HG00253	GBR	EUR
HG00267	FIN	EUR
HG00258	GBR	EUR
HG00274	FIN	EUR
HG00260	GBR	EUR
HG00281	FIN	EUR
HG00265	GBR	EUR
HG00306	FIN	EUR
HG00272	FIN	EUR
HG00313	FIN	EUR
HG00277	FIN	EUR
HG00318	FIN	EUR
HG00501	CHS	EAS
HG00320	FIN	EUR
HG00513	CHS	EAS
HG00325	FIN	EUR
HG00525	CHS	EAS
HG00332	FIN	EUR
HG00532	CHS	EAS
HG00337	FIN	EUR
HG00537	CHS	EAS
HG00344	FIN	EUR
HG00544	CHS	EAS
HG00349	FIN	EUR
HG00551	PUR	AMR
HG00351	FIN	EUR
HG00556	CHS	EAS
HG00356	FIN	EUR
HG00582	CHS	EAS
HG00368	FIN	EUR
HG00378	FIN	EUR
HG00375	FIN	EUR
HG00380	FIN	EUR
HG00096	GBR	EUR
HG00405	CHS	EAS
HG00104	GBR	EUR
HG00429	CHS	EAS
HG00109	GBR	EUR
HG00436	CHS	EAS
HG00111	GBR	EUR
HG00443	CHS	EAS
HG00116	GBR	EUR
HG00448	CHS	EAS
HG00123	GBR	EUR
HG00450	CHS	EAS
HG00128	GBR	EUR
HG00474	CHS	EAS
HG00130	GBR	EUR
HG00479	CHS	EAS
HG00284	FIN	EUR
HG00304	FIN	EUR
HG00309	FIN	EUR
HG00311	FIN	EUR
HG00323	FIN	EUR
HG00328	FIN	EUR
HG00330	FIN	EUR
HG00335	FIN	EUR
HG00342	FIN	EUR
HG00359	FIN	EUR
HG00361	FIN	EUR
HG00366	FIN	EUR
HG00373	FIN	EUR
HG00594	CHS	EAS
HG00599	CHS	EAS
HG00607	CHS	EAS
HG00614	CHS	EAS
HG00382	FIN	EUR
HG00619	CHS	EAS
HG00407	CHS	EAS
HG00621	CHS	EAS
HG00419	CHS	EAS
HG00626	CHS	EAS
HG00421	CHS	EAS
HG00438	CHS	EAS
HG00638	PUR	AMR
HG00445	CHS	EAS
HG00099	GBR	EUR
HG00452	CHS	EAS
HG00102	GBR	EUR
HG00457	CHS	EAS
HG00107	GBR	EUR
HG00464	CHS	EAS
HG00114	GBR	EUR
HG00476	CHS	EAS
HG00119	GBR	EUR
HG00729	CHS	EAS
HG00121	GBR	EUR
HG00731	PUR	AMR
HG00126	GBR	EUR
HG00736	PUR	AMR
HG00133	GBR	EUR
HG00743	PUR	AMR
HG00844	CDX	EAS
HG00851	CDX	EAS
HG00983	CDX	EAS
HG00640	PUR	AMR
HG01094	PUR	AMR
HG00652	CHS	EAS
HG01099	PUR	AMR
HG00657	CHS	EAS
HG01102	PUR	AMR
HG00664	CHS	EAS
HG01107	PUR	AMR
HG00671	CHS	EAS
HG01114	CLM	AMR
HG01119	CLM	AMR
HG00683	CHS	EAS
HG01121	CLM	AMR
HG00690	CHS	EAS
HG01126	CLM	AMR
HG00703	CHS	EAS
HG01133	CLM	AMR
HG00708	CHS	EAS
HG01138	CLM	AMR
HG01148	CLM	AMR
HG01140	CLM	AMR
HG01150	CLM	AMR
HG00534	CHS	EAS
HG01162	PUR	AMR
HG00553	PUR	AMR
HG01167	PUR	AMR
HG00558	CHS	EAS
HG01174	PUR	AMR
HG00560	CHS	EAS
HG01198	PUR	AMR
HG00565	CHS	EAS
HG01206	PUR	AMR
HG00577	CHS	EAS
HG01249	PUR	AMR
HG00584	CHS	EAS
HG01251	CLM	AMR
HG00589	CHS	EAS
HG01326	PUR	AMR
HG00642	PUR	AMR
HG01345	CLM	AMR
HG00654	CHS	EAS
HG01352	CLM	AMR
HG00673	CHS	EAS
HG01357	CLM	AMR
HG00685	CHS	EAS
HG00692	CHS	EAS
HG01369	CLM	AMR
HG00700	CHS	EAS
HG01092	PUR	AMR
HG00705	CHS	EAS
HG01097	PUR	AMR
HG00717	CHS	EAS
HG01100	PUR	AMR
HG00591	CHS	EAS
HG01105	PUR	AMR
HG00596	CHS	EAS
HG01112	CLM	AMR
HG00609	CHS	EAS
HG01124	CLM	AMR
HG00611	CHS	EAS
HG01131	CLM	AMR
HG00623	CHS	EAS
HG01136	CLM	AMR
HG00628	CHS	EAS
HG01028	CDX	EAS
HG00630	CHS	EAS
HG01047	PUR	AMR
HG00635	CHS	EAS
HG01054	PUR	AMR
HG01049	PUR	AMR
HG01061	PUR	AMR
HG01051	PUR	AMR
HG01066	PUR	AMR
HG01056	PUR	AMR
HG01073	PUR	AMR
HG01063	PUR	AMR
HG01080	PUR	AMR
HG01068	PUR	AMR
HG01085	PUR	AMR
HG01070	PUR	AMR
HG01376	CLM	AMR
HG01075	PUR	AMR
HG01383	CLM	AMR
HG01082	PUR	AMR
HG01390	CLM	AMR
HG01087	PUR	AMR
HG01395	PUR	AMR
HG01164	PUR	AMR
HG01403	PUR	AMR
HG01169	PUR	AMR
HG01171	PUR	AMR
HG01439	CLM	AMR
HG01176	PUR	AMR
HG01441	CLM	AMR
HG01183	PUR	AMR
HG01188	PUR	AMR
HG01465	CLM	AMR
HG01190	PUR	AMR
HG00734	PUR	AMR
HG00739	PUR	AMR
HG01241	PUR	AMR
HG00741	PUR	AMR
HG01253	CLM	AMR
HG00866	CDX	EAS
HG01258	CLM	AMR
HG01256	CLM	AMR
HG01260	CLM	AMR
HG01275	CLM	AMR
HG01272	CLM	AMR
HG01302	PUR	AMR
HG01277	CLM	AMR
HG01284	CLM	AMR
HG01311	PUR	AMR
HG01489	CLM	AMR
HG01323	PUR	AMR
HG01491	CLM	AMR
HG01342	CLM	AMR
HG01496	CLM	AMR
HG01347	CLM	AMR
HG01504	IBS	EUR
HG01354	CLM	AMR
HG01597	KHV	EAS
HG01359	CLM	AMR
HG01600	KHV	EAS
HG01361	CLM	AMR
HG01605	IBS	EUR
HG01366	CLM	AMR
HG01612	IBS	EUR
HG01474	CLM	AMR
HG01509	IBS	EUR
HG01479	CLM	AMR
HG01511	IBS	EUR
HG01516	IBS	EUR
HG01486	CLM	AMR
HG01523	IBS	EUR
HG01493	CLM	AMR
HG01528	IBS	EUR
HG01498	CLM	AMR
HG01530	IBS	EUR
HG01501	IBS	EUR
HG01617	IBS	EUR
HG01614	IBS	EUR
HG01624	IBS	EUR
HG01619	IBS	EUR
HG01629	IBS	EUR
HG01621	IBS	EUR
HG01631	IBS	EUR
HG01626	IBS	EUR
HG01667	IBS	EUR
HG01633	IBS	EUR
HG01674	IBS	EUR
HG01669	IBS	EUR
HG01566	PEL	AMR
HG01671	IBS	EUR
HG01573	PEL	AMR
HG01378	CLM	AMR
HG01578	PEL	AMR
HG01385	CLM	AMR
HG01679	IBS	EUR
HG01392	PUR	AMR
HG01681	IBS	EUR
HG01686	IBS	EUR
HG01405	PUR	AMR
HG01698	IBS	EUR
HG01412	PUR	AMR
HG01701	IBS	EUR
HG01768	IBS	EUR
HG01599	KHV	EAS
HG01770	IBS	EUR
HG01602	IBS	EUR
HG01775	IBS	EUR
HG01607	IBS	EUR
HG01782	IBS	EUR
HG01506	IBS	EUR
HG01513	IBS	EUR
HG01706	IBS	EUR
HG01518	IBS	EUR
HG01756	IBS	EUR
HG01520	IBS	EUR
HG01763	IBS	EUR
HG01525	IBS	EUR
HG01794	CDX	EAS
HG01532	IBS	EUR
HG01799	CDX	EAS
HG01537	IBS	EUR
HG01802	CDX	EAS
HG01551	CLM	AMR
HG01807	CDX	EAS
HG01556	CLM	AMR
HG01888	ACB	AFR
HG01431	CLM	AMR
HG01890	ACB	AFR
HG01443	CLM	AMR
HG01895	ACB	AFR
HG01455	CLM	AMR
HG01915	ACB	AFR
HG01462	CLM	AMR
HG01922	PEL	AMR
HG01676	IBS	EUR
HG01953	PEL	AMR
HG01683	IBS	EUR
HG01958	ACB	AFR
HG01695	IBS	EUR
HG01960	ACB	AFR
HG01979	PEL	AMR
HG01965	PEL	AMR
HG01981	PEL	AMR
HG01972	PEL	AMR
HG01986	ACB	AFR
HG01977	PEL	AMR
HG01993	PEL	AMR
HG01984	PEL	AMR
HG01998	PEL	AMR
HG01989	ACB	AFR
HG01892	PEL	AMR
HG01991	PEL	AMR
HG01897	ACB	AFR
HG02002	PEL	AMR
HG01912	ACB	AFR
HG02014	ACB	AFR
HG01917	PEL	AMR
HG02019	KHV	EAS
HG00134	GBR	EUR
HG01924	PEL	AMR
HG02021	KHV	EAS
HG00139	GBR	EUR
HG01866	KHV	EAS
HG02026	KHV	EAS
HG00141	GBR	EUR
HG01873	KHV	EAS
HG01927	PEL	AMR
HG00146	GBR	EUR
HG01878	KHV	EAS
HG01934	PEL	AMR
HG00153	GBR	EUR
HG01880	ACB	AFR
HG01939	PEL	AMR
HG00158	GBR	EUR
HG01885	ACB	AFR
HG01941	PEL	AMR
HG00160	GBR	EUR
HG01772	IBS	EUR
HG01946	PEL	AMR
HG00177	FIN	EUR
HG01777	IBS	EUR
HG01864	KHV	EAS
HG00189	FIN	EUR
HG01784	IBS	EUR
HG01869	KHV	EAS
HG00235	GBR	EUR
HG01789	GBR	EUR
HG01871	KHV	EAS
HG00242	GBR	EUR
HG01703	IBS	EUR
HG01883	ACB	AFR
HG00247	GBR	EUR
HG01708	IBS	EUR
HG02064	KHV	EAS
HG00254	GBR	EUR
